C0 -7.98379 -3.85672
C1 6.52934 5.63963
C2 -8.2045 1.58491
C3 2.06567 9.10307
C4 -1.79648 -0.793117
C5 4.76034 4.98069
C6 6.01829 -5.08494
C7 1.64406 3.74358
C8 6.74349 8.04213
C9 4.37957 -3.16712
C10 -3.90638 -1.33082
C11 -0.191747 3.89566
C12 5.03892 0.594582
C13 6.5721 -9.2042
C14 5.28876 -3.96098
C15 -7.15963 7.30496
C16 2.18229 9.36971
C17 2.94459 3.97779
C18 0.954621 -4.98974
C19 3.08086 9.15814
C20 4.21714 -2.1588
C21 4.13883 0.235431
C22 2.75626 -4.21711
C23 -6.02099 -0.500256
C24 -6.17498 8.35858
C25 6.33262 -0.0813617
C26 -2.97224 -3.85912
C27 -6.1857 -7.93332
C28 6.73546 -9.61359
C29 -7.13752 2.02421
C30 -3.57458 -4.29715
C31 -0.670826 8.60771
C32 -4.92744 -7.72624
C33 2.58551 6.02718
C34 -2.71598 -4.33363
C35 5.18532 -8.49883
C36 3.50757 -0.675854
C37 1.7366 -3.73618
C38 5.10704 5.7156
C39 5.76357 8.93206
C40 4.07418 2.09619
C41 -1.1493 -8.89806
C42 8.23707 2.665
C43 -6.83138 4.97252
C44 3.05141 -3.9689
C45 -3.00326 9.47683
C46 1.73394 6.32591
C47 8.08454 6.8065
C48 8.59967 0.670047
C49 2.83368 -4.1163
C50 6.33641 -1.98101
C51 -2.61514 -0.15602
C52 7.34314 9.12146
C53 6.1078 2.45018
C54 4.83706 1.87137
C55 1.38224 -1.08875
C56 -6.03244 -9.76706
C57 0.0131859 -7.79537
C58 2.89794 3.1818
C59 7.17715 -4.05066
C60 9.2129 -5.82611
C61 -4.57383 0.946845
C62 -9.5002 -6.48929
C63 -2.24665 9.09947
C64 4.18076 -9.41298
C65 -5.01683 0.517173
C66 -1.39398 2.36803
C67 -9.63885 -4.05084
C68 1.48949 6.46896
C69 8.39934 -3.67345
C70 -1.65967 -0.218423
C71 5.2378 2.30789
C72 0.0145139 -4.74901
C73 4.51252 -7.08755
C74 8.43279 1.68967
C75 -1.13821 7.64569
C76 5.86356 4.28796
C77 -1.40746 6.36336
C78 7.79867 6.34588
C79 5.46283 1.97943
