100

 0 83 77 86 90 11 29 21 62 82 32 52 97 46 37 28 22 52 45 22 79  0 47 81 89 70 36 10 11  1 20 82  0 32 59  8  5 69 74 20 66 90 52 52 25 16 49 92 42 81 37 57 59 46 49 29 41 91 73 23 11 21 15 90 22  8 13 58 67 28 46 91  2 46 73 27 85  2 27 42 62 14 67 57  9 43 20 59 23 57  8 62 80 33 39 60 23 43 51 12 
83  0 93 49 63 67 22 84 96 14 76  1 86 21 75 69 99 79 79 96 93 88 59 90 55 17 76 94 32 53 82 10 97  4 89 38 33 95 96 98 95 93 57  4 61 81 51 43 49 87 47 40 65 95 93  3 23 69 45 70 71 16 49 88 18 78 27 85 40 74 83 67 57 74 97 44 32 39 64 13 18 51 21 76 97 16 47 37 84 83 34 87 43 34  1 83 85 25 52  2 
77 93  0 62 40 82 69 98  5 34 39 86  6 79 74 17 46 68 87 30 21 49 35 96 20 69  7 46 79  7 87 88 12 79 69 93 34 71 67 18 28 39 87 59 42 58 60  7  1 28 95 86  4 17 54 45 44 70 93 96 91 38 79 53 45 28 91 60 74 30 34 20 19 48 25 95 48 60 80  8 23 87 55 52 51 21 84 70 35 77 27 69 53 21 89 62  6 90 52 14 
86 49 62  0 72 62 93 15 84 43 26 65 19 64 58 24 40 73 48 92  4  3 39 77 87 22 57 37 70 28 96 15 82 12 51 10 15 69 13 63 47 94 40 25 91  6 99 13 64 51 24 99 67 96 51 82 52 28  7 62 96 26 56 34  8 85  3 82 23 43 38 86  2 15 73 60 40 52 62 93 32 83 15 90 88 78 91  2 81 12 73 92 28 22 74 89 35 47 11 79 
90 63 40 72  0 67 11 13 36 87 94 44 28 41 29 70 11 81 59 72 61 63 15 90 38 73 99 53 72 97  4 37 93 69 83  5 87  1 19 95 26 13 26 17 20  1 29 13 72 18 99 89 32 92 87  3 16 23 46 24 87  5  1 59 78 54 25 20 45 56 53  7 15 57 22 27 13 19 41 52 93 58 57  0 72 32  6 84 75  0 38 33 79 65 56 37 87 26 80 31 
11 67 82 62 67  0 29 91 46 76 95 40 32 93 35 90  5 33 36 25 26 53  4 24 70 31 27 73 34 84 92  8 39 70 33 13 69 52 50  5 62 82  5 36 54 74 28 96 11 23 11 46  8 23 24 68 59 72 49 63 36  3 50 45 47 45 42 13 72  4  9 13 67 62 80 81 80 61 67 17 15 73 61 77  2 81 21 32 31 80 83 10 34 40 64 86 99 24 64 11 
29 22 69 93 11 29  0 56 13 88 34 31  3 34 18 72 61 60 42 22 44 86 49 14 56 82 36 25 83 34 97 83 21 44  4 38 87 40 32 42 29 75 78 60 42 65 99 56 42 14 43 84 76 60 59 47 27 75 48 35 62 32 76 83 64 21 38 31 39 27 83 87 30 24 38 87  3 48 68 98 68 92 78  6 32 34 31 80 17 83 74 94 50 64 55 56 16 56 70 34 
21 84 98 15 13 91 56  0 24  3 67 97 70 24 43 44 78 99  6 40  2 52 85  5  6 92 18 10 98 91 34 57 85 49 81 21 37 43 79 98  0 38 69 14 30 66 89 99 40 82 84 50 94  3 83 55 72 94 73 47 34 95 38  1 93 69 85 12 10 75 61 29 46 95 23 19 22 43 25  1 64 93 41 66 30 38 33  6 23 94 91  0 23 93 42 64 52 27  8 54 
62 96  5 84 36 46 13 24  0 54 97 81  8 87 28  5 20 99 13 98 84 75 43 12 49 57 63 17 63 98  6 27 54 65 66 29 89 91 53 72 97 51 27 37 34 69 76 69 59  7 32 43 51 63  6 36 40 59 39 18 89 58 26 19  7 26 42 46 10 19 69 80 52 80 21 27 74 72 22 34 60 16 39 56 63 84 46  7 65  5 26 17  6 97 44 77 96 75  2 38 
82 14 34 43 87 76 88  3 54  0 17  9 40 43 76 54 44 59 21 98 42 57 77  0  5 21 44 63 50 52 57 69 62 26 67 80  5 27 95 53 75 11 20 48  8 34 66 95 58 29 96 68 42 34 67 71 74 49 76 22  4 12  2 70 79  4 87 58 23 27 74 32 71 40 46 93 39 59 69 58 49 48 68 67 82 84 32 76 95 16 73 28 26 37 55 35 54 55 62 77 
