80

 0 23 57 26 50 11  9 21 62 62 12 12 57 46 37  8 22 12  5 22 59 20 47  1 29 30 16 30 11 61 40 22 40 72 19 28 65 29 54 40 46 50 12 72 45 76 69 12  2 21 77 57 19  6 69 49 61 71 33  3 51 21 55 30 42 48 53 18 27  8 26 71 42 26 73 67 25  2 47 42 
23  0 33  9  3  7 22 24 36 14 76 21 26 41 75  9 19 19 59 36 73 28 79 70 35 57 16 54 52 13 62 70 37 24 49 58 13 35 36 18 35 53 77 24 61 61 71  3 29 47 47  0  5 15 13 43 23 69 45 70 71 56 29 48 38 38  7 45 20 74  3 27 17 14 77 44 32 59 24 53 
57 33  0 42 60 22 29 78 65 74 59 46 26 59 34 77 66 28  7 30 21  9 55 36 60 49  7 26 59 27 47  8 12 79 29 13 14 51 27 58 28 59  7 79 62 38  0 47 21  8 35 46 44 17 34 65 44 50 73 56 71 18 59 33 45 28 71 20 34 10 14  0 19 48  5 35  8 20 60 68 
26  9 42  0 52 62 33 75 44 43 66 25 59  4 58 44 20 13 68 12 24 23 19 37 27 62 57 17 30  8 16 15 62 52 31 70 75  9 13 63  7 54 20 45 31 46 39 73 24 71 44 59 47 16 71 62 72 28 67 62 36 26 56 54 28  5 63 62 43 23 58 26 42 35 13 40 60 52  2 13 
50  3 60 52  0 67 51 13 16 47 14 44  8  1 29 30 31 41 59 72 41  3 55 50 18 53 59 33 12 37 44 77 53  9 23 65 47  1 39 55 66 13 26 77  0 61 69 33 52 78 79  9 52 12 67 23 36 43 66 64  7 65  1 79 18 74 45 60 65 56 33 67 35 37 62  7 73 79 41 32 
11  7 22 62 67  0 69 11 46 76 75 40 52 73 75 10  5 53 16 25 46 13 24 44 10 31 47 13 74 44 12  8 39 10 13 13 29 12 10 25 22 62  5 76 74 34 68 16 51 63 71 66 48  3 44 68 19 72 69 63 56 43 70 45 47  5 42 53 12 44 29 13 67 62 20 41 20  1 47 17 
 9 22 29 33 51 69  0 36 33 28 74 31 63 74 58 12 61 20 22 22 64  6 49 14 56 42 36 45  3 54 57 23 21 44 24 38  7 60 72 62 69 35 38 40 22 65 39 56 22 74  3 64 76 60 79 47  7 15 68 35 62 12 36 63  4 41 18 31 59 47  3 47 30 44 38 27 23 28 68 78 
21 24 78 75 13 11 36  0 44 43 27 17 30 44 63 44 78 79 46  0  2 32 45 45 46 52 58 70 38 31 14 17 25  9 61 61 37 63 39 18 60 18 49 54 50  6 29 19 40 62 64 50 14  3 63 75 52 54 33  7 54 75 58  1 33  9 45 52 70 75 61 49 66 55 43 19 62  3 25 21 
62 36 65 44 16 46 33 44  0 34 17  1 28 27  8 65 40 19 33 58 64 55 63 72  9 17  3 17 23 18 26 67 74 65 66 69  9 51 33 32 37 71 27 17 34 69 36 29 19 47 72 43 51 43  6 56 40 59 39 18 49 58  6 79 47 26  2  6 50 59 69 40 52 20  1 67 34 52  2 54 
62 14 74 43 47 76 28 43 34  0 37 69 20 63 56 74  4 79 41 58 42 37 57 60  5  1 44  3 70 12 17 69 42  6  7 20  5 47 15 53 55 11  0 68 28 14  6 75 18 49 16 28  2 74  7 51 54 49 36 22  4 52  2 70 59 64  7 78 43 27 74 52 51  0 26 33 39 79  9 18 
12 76 59 66 14 75 74 27 17 37  0  7 36 67 43 69 42 13 19 44  8 76 38  6 17 14 45 50 13 29 35 11 21 23 32 55 64 78 27 77 64 48 21 60 20 56 24 49 68 14 18 72  4 14 76 78 58 73 17 25 17  3 43 57 21 15  6 27 20 54 79 57 10 63 13 64 59 59 23 12 
12 21 46 25 44 40 31 17  1 69  7  0 58 19 53 62 68 70 41 49 72 54 69 36 65 27 11 50 59 26 42 30 12  9 22 64 77 10 57 67 40 13 43 63  4 26 39  9 57 64  1 36 60 69 46 36 11 21 64 63 56  4 73  9 55 11 21 44 53 44 64 47 70 63  5 29 39 15 32 64 
57 26 26 59  8 52 63 30 28 20 36 58  0 72 46 37 42 46 19 19 38 60  7 58 73 31 75 11 47 56 43 79 62 72 51 34 43 44 16 36 38 19 27 72 25 17 16  8 14 78 43 13 13 58 69 17 39 55 22 47 69 52 35 66  9 60  9 51 60 76 28 63 47 51  3 31 17 22 35 33 
46 41 59  4  1 73 74 44 27 63 67 19 72  0 24 75 44 44 20 52 36 28 52 66 73 57 69 33 42 69 74 48 79 73 54  9 52 53 24 72 34 55 22  4 42 60 31 24 76  6 46 23 18 64  5 39 59 12 28 78 76 68 78 39 66  9 72 23 32 79 56 66 46 43 20  4 11 44 40 24 
37 75 34 58 29 75 58 63  8 56 43 53 46 24  0 28 62 10 25 74 73 50 23  7 49 14 33 69 32  0 29 73 34  9 38 49  2 19  3 37 14 24 71 18 45 50 38 55 45  0 14 59 48 64 37 10  1 20 31 67 78 67 47  3 52  3 79  9 52 42 20 55 76 60 32 32 41 66 45 75 
 8  9 77 44 30 10 12 44 65 74 69 62 37 75 28  0 40 16  7 59 23 36 29 11 47 18  5 44 74 29 12 50 55 31 63 53 43 74 52 73 28 26 73 47 55 26 44 54 53 26 35 69 29 12 70 47 66 74  9  2 25 58 58 20 77 36 38 59 17 20 35 63 36 53 23 65 56 69 76 69 
22 19 66 20 31  5 61 78 40  4 42 68 42 44 62 40  0 16 64 73 53 74  2 31 37 41 22 45 58 41 61 79 11 24 47 33  1 75 16 52 22 32 48 48 12 48 50 44 71 24 18 69 42 24 25 76 37  5  0 51 66 37 54 67 37 14 20 58 54 36 16 71 26 42 59 71 72 66 72 66 
12 19 28 13 41 53 20 79 19 79 13 70 46 44 10 16 16  0  0 50 10 59 21 57 71 76 77 28 40 58 43 51 70 68 13 27 18 62 59 35 46 60  8  9 56 37 15 11 40  2 17  0 18 44 43 10  3 15 41 71 74 33  7 25 41 50 14 23 19 41 31 26 72 64 19 40 58 36  3  6 
 5 59  7 68 59 16 22 46 33 41 19 41 19 20 25  7 64  0  0 20 47 79 66 32 60 71 53 45 39 66  2 57 11 37 22 14 60 37 55 27 32 63 78 21 10 56 21 50 79 39 35 72  9 16 44 58 48  7 72 22 61 63  3 72 72 27 70 58 16 45 57 69 47 66 14 21  4 31  7 26 
22 36 30 12 72 25 22  0 58 58 44 49 19 52 74 59 73 50 20  0 48 28 21 14 18 36 46 35 62 27  5 17 37 33 13 59  2 78 33 49 47 17  8 14 49 53 50 58 47 48 57 60 68 46 52 22 15 33 69 23 28 30  7  1 32 22 72 56 15 75 57 47 46 64 67  8 39 70  0 29 
59 73 21 24 41 46 64  2 64 42  8 72 38 36 73 23 53 10 47 48  0 20 40 72 25 18 46 69  1 67 45 72 59 69 16 59 19 19  4 21 34 73 49  5 32 66 68 73  3  4 78 60 66  7 48 13 10 60 26 50 46 31 58 52  0 19 13 38 41 31 63 75 67 64 50 44 18 33  1 26 
20 28  9 23  3 13  6 32 55 37 76 54 60 28 50 36 74 59 79 28 20  0 23 12 34 18 63  7 43 52 70  1 71 35 21 62 29 33 11 14 76  1 63 21 69  7 24 66 49 15 60 53  0 14 72  7 46  4 16 58 66  5 66 44 58 77 32 21 66 41 78 41 72  3 25  1 65 35  1  3 
47 79 55 19 55 24 49 45 63 57 38 69  7 52 23 29  2 21 66 21 40 23  0 10 77 50 54 43 32  1 34  8 27 68 46  6 33  8 31 45 64 34 54 29 48 56 38 25 26 45 46 29 58 76 30 54 16 76 63 30 69 72 46 49 55 60 59 68  6 33 75  4 17 68 19 66 10 30  6 66 
 1 70 36 37 50 44 14 45 72 60  6 36 58 66  7 11 31 57 32 14 72 12 10  0 53 12 19 36 74 50 36 24 30  0 20 69 68 44 19 28  4 11 57 10 28 20 64 34 74  3 35 68 14 45 26 14 49 71 15 29 15 31 25  4  4 57 15 58 66 67 64 22  7 16 70  3 25 49  4 63 
