20

 0  3 17  6 10 11  9  1  2  2 12 12 17  6 17  8  2 12  5  2 
 3  0 13  9  3  7  2  4 16 14 16  1  6  1 15  9 19 19 19 16 
17 13  0  2  0  2  9 18  5 14 19  6  6 19 14 17  6  8  7 10 
 6  9  2  0 12  2 13 15  4  3  6  5 19  4 18  4  0 13  8 12 
10  3  0 12  0  7 11 13 16  7 14  4  8  1  9 10 11  1 19 12 
11  7  2  2  7  0  9 11  6 16 15  0 12 13 15 10  5 13 16  5 
 9  2  9 13 11  9  0 16 13  8 14 11  3 14 18 12  1  0  2  2 
 1  4 18 15 13 11 16  0  4  3  7 17 10  4  3  4 18 19  6  0 
 2 16  5  4 16  6 13  4  0 14 17  1  8  7  8  5  0 19 13 18 
 2 14 14  3  7 16  8  3 14  0 17  9  0  3 16 14  4 19  1 18 
12 16 19  6 14 15 14  7 17 17  0  7 16  7  3  9  2 13 19  4 
12  1  6  5  4  0 11 17  1  9  7  0 18 19 13  2  8 10  1  9 
17  6  6 19  8 12  3 10  8  0 16 18  0 12  6 17  2  6 19 19 
 6  1 19  4  1 13 14  4  7  3  7 19 12  0  4 15  4  4  0 12 
17 15 14 18  9 15 18  3  8 16  3 13  6  4  0  8  2 10  5 14 
 8  9 17  4 10 10 12  4  5 14  9  2 17 15  8  0  0 16  7 19 
 2 19  6  0 11  5  1 18  0  4  2  8  2  4  2  0  0 16  4 13 
12 19  8 13  1 13  0 19 19 19 13 10  6  4 10 16 16  0  0 10 
 5 19  7  8 19 16  2  6 13  1 19  1 19  0  5  7  4  0  0  0 
 2 16 10 12 12  5  2  0 18 18  4  9 19 12 14 19 13 10  0  0 

 0  6 15 12 19  8  2 19 10  5  0 16 13 11  8  8  8 19 16  9 
 6  0 15  1  6  9 18 17  1  7  8  0  5 15  7 17  3 10 18  1 
15 15  0  7  6 10  7  4  5  4 12  1  3  8  1 16  8 11 12  4 
12  1  7  0 16  3 16 10  7 10  6  9  4  8 15  3  2 11 12 12 
19  6  6 16  0 15  2  6  5  8 19 19 11 10 17  3 10 10  9 10 
 8  9 10  3 15  0 13  0  9 18 10  9  9  0 13 19  1 14 10  5 
 2 18  7 16  2 13  0 13 17  4 18 17 19  4  8  5 10  3  7 19 
19 17  4 10  6  0 13  0 15 11  1 11  8 14 11 10  5  1  1  2 
10  1  5  7  5  9 17 15  0 19  2 15 15 16  9 19 16 16 12 13 
 5  7  4 10  8 18  4 11 19  0 12  7  9 11  4  6  6 13 15 10 
 0  8 12  6 19 10 18  1  2 12  0 16  3  5  3  2  5  8 19 10 
16  0  1  9 19  9 17 11 15  7 16  0  5 16 18  4 16 15  4  1 
13  5  3  4 11  9 19  8 15  9  3  5  0 11  0  7 18  6 11 16 
11 15  8  8 10  0  4 14 16 11  5 16 11  0 18  4 17  0  7 15 
 8  7  1 15 17 13  8 11  9  4  3 18  0 18  0 11  4  4  8  4 
 8 17 16  3  3 19  5 10 19  6  2  4  7  4 11  0 16  2 10  9 
 8  3  8  2 10  1 10  5 16  6  5 16 18 17  4 16  0  7 18 16 
19 10 11 11 10 14  3  1 16 13  8 15  6  0  4  2  7  0  4 15 
16 18 12 12  9 10  7  1 12 15 19  4 11  7  8 10 18  4  0  2 
 9  1  4 12 10  5 19  2 13 10 10  1 16 15  4  9 16 15  2  0 
