C0 -2.68962 2.30843
C1 -2.26267 -0.635942
C2 2.01726 2.739
C3 -3.86325 1.06929
C4 -1.26922 -3.85811
C5 2.26113 -3.57127
C6 0.411656 2.29648
C7 -3.62681 -1.78316
C8 3.03351 -3.78146
C9 2.45006 3.61829
C10 2.34663 -0.233559
C11 3.2757 1.03288
C12 2.60125 -1.14498
C13 0.799972 -2.39678
C14 -1.49482 2.94432
C15 0.211044 -0.184437
C16 1.25276 1.94837
C17 3.17962 -0.729985
C18 0.687372 3.31638
C19 -3.6607 3.41816
C20 3.45826 2.60043
C21 3.84688 -0.130083
C22 0.896913 -3.77993
C23 2.08675 -0.069576
C24 -3.56139 0.536808
C25 -0.451283 2.78524
C26 -3.69675 -1.17558
C27 -0.181883 2.9045
C28 1.67944 -3.38191
C29 -3.49229 -3.81538
C30 3.56241 0.718758
C31 0.000180626 0.815169
C32 -1.33287 -0.820199
C33 -3.91482 3.3545
C34 -1.50382 -3.57551
C35 2.77266 -2.04556
C36 3.02492 2.61954
C37 1.82435 -0.0781685
C38 2.83961 -0.0888936
C39 3.85226 3.27823
C40 -3.55209 -0.599027
C41 2.06347 -3.24884
C42 2.22539 -2.11842
C43 3.65566 -0.0951684
C44 -1.50033 -3.83662
C45 0.0894495 -1.93792
C46 0.882133 -3.91037
C47 2.87725 3.54926
C48 -0.730569 2.96244
C49 2.90376 1.76561
C50 3.38692 1.67642
C51 3.72004 2.41184
C52 0.295957 1.5444
C53 -1.66633 -0.864429
C54 -2.5445 -1.81407
C55 -1.5862 -2.09658
C56 1.5869 -3.52274
C57 -1.34542 -0.187707
C58 -1.64116 -1.68975
C59 3.71712 0.858516
C60 -1.52638 -0.193426
C61 2.9206 3.35575
C62 -0.103796 1.79785
C63 2.90502 3.16564
C64 0.760289 1.80878
C65 0.931243 0.147211
C66 -0.514804 0.651287
C67 -1.44095 3.78115
C68 -1.80431 0.892724
C69 -1.08328 -0.34881
C70 3.07865 1.33052
C71 1.55461 0.665553
C72 1.80778 -3.79081
C73 -3.52215 -3.83337
C74 -1.48056 -3.80503
C75 1.02514 0.993058
C76 0.00154472 -0.0542583
C77 0.348813 3.89775
C78 -2.25641 -0.746171
C79 3.06338 2.50388
C80 -2.93739 -0.00537246
C81 -1.34891 0.547804
C82 -3.35409 1.21015
C83 0.328957 -1.1584
C84 -1.89713 3.24568
C85 2.49279 -2.81848
C86 0.576202 0.0473984
C87 1.84707 -1.61602
C88 0.25659 2.32492
C89 -1.44939 2.77603
C90 2.51989 3.57575
C91 -0.230914 -1.47856
C92 -0.478504 -3.8821
C93 -1.58082 1.26509
C94 -0.628272 -2.51743
C95 -0.231028 0.434335
C96 1.4772 2.42006
C97 -3.01786 2.12311
C98 -0.36979 1.3111
C99 -3.03529 1.73308
