50

 0 33 27 36 40 11 29 21 12 32 32  2 47 46 37 28 22  2 45 22 29  0 47 31 39 20 36 10 11  1 20 32  0 32  9  8  5 19 24 20 16 40  2  2 25 16 49 42 42 31 
33  0 43 49 13 17 22 34 46 14 26  1 36 21 25 19 49 29 29 46 43 38  9 40  5 17 26 44 32  3 32 10 47  4 39 38 33 45 46 48 45 43  7  4 11 31  1 43 49 37 
27 43  0 12 40 32 19 48  5 34 39 36  6 29 24 17 46 18 37 30 21 49 35 46 20 19  7 46 29  7 37 38 12 29 19 43 34 21 17 18 28 39 37  9 42  8 10  7  1 28 
36 49 12  0 22 12 43 15 34 43 26 15 19 14  8 24 40 23 48 42  4  3 39 27 37 22  7 37 20 28 46 15 32 12  1 10 15 19 13 13 47 44 40 25 41  6 49 13 14  1 
40 13 40 22  0 17 11 13 36 37 44 44 28 41 29 20 11 31  9 22 11 13 15 40 38 23 49  3 22 47  4 37 43 19 33  5 37  1 19 45 26 13 26 17 20  1 29 13 22 18 
11 17 32 12 17  0 29 41 46 26 45 40 32 43 35 40  5 33 36 25 26  3  4 24 20 31 27 23 34 34 42  8 39 20 33 13 19  2  0  5 12 32  5 36  4 24 28 46 11 23 
29 22 19 43 11 29  0  6 13 38 34 31  3 34 18 22 11 10 42 22 44 36 49 14  6 32 36 25 33 34 47 33 21 44  4 38 37 40 32 42 29 25 28 10 42 15 49  6 42 14 
21 34 48 15 13 41  6  0 24  3 17 47 20 24 43 44 28 49  6 40  2  2 35  5  6 42 18 10 48 41 34  7 35 49 31 21 37 43 29 48  0 38 19 14 30 16 39 49 40 32 
12 46  5 34 36 46 13 24  0  4 47 31  8 37 28  5 20 49 13 48 34 25 43 12 49  7 13 17 13 48  6 27  4 15 16 29 39 41  3 22 47  1 27 37 34 19 26 19  9  7 
32 14 34 43 37 26 38  3  4  0 17  9 40 43 26  4 44  9 21 48 42  7 27  0  5 21 44 13  0  2  7 19 12 26 17 30  5 27 45  3 25 11 20 48  8 34 16 45  8 29 
32 26 39 26 44 45 34 17 47 17  0 17 46 27 43 19 22 13 19 24 28 36 38 26 17 24  5 40 23 39 45  1 41 33 42 45  4 28  7 47 44 18 21 20 30 36 34 39 28 44 
 2  1 36 15 44 40 31 47 31  9 17  0 18  9 13 42  8 40 21  9 22 14 49 16 45 47 41 30  9  6 12 10  2 19  2 24  7  0 37 47 20 13 33 13 44  6  9 19 47 44 
47 36  6 19 28 32  3 20  8 40 46 18  0 32  6 47 32 26 39 19  8 10 17 28 23 31  5 21 47 16 33 39 12  2 31  4  3 24 26 16 18 49 17 32 45 47 26  8 44 28 
46 21 29 14 41 43 34 24 37 43 27  9 32  0  4  5 24 34 40 32 36 28 42 46 23 37 39 33 32  9  4 38 49 43 24 19 42 13 34 12 44 35 32  4 22 10 21  4  6 26 
37 25 24  8 29 35 18 43 28 26 43 13  6  4  0 48 12 40  5 44  3  0 43 47 39  4 43 39 32  0  9 43  4 39 18 19 22 49 33 27 34 14 11  8 25 20 38 45 25 10 
28 19 17 24 20 40 22 44  5  4 19 42 47  5 48  0  0 26 27 29  3  6 29  1  7 48  5  4  4  9 32 40 15 31 33 23 43 44 42  3  8 46  3 27 35 36 34 14  3 36 
22 49 46 40 11  5 11 28 20 44 22  8 32 24 12  0  0 36 34 23 33 44 32 31  7 31 22  5 48 31 21 49  1 14 37 33 11 15 46 32 12 22  8 18 42  8 40 14 21 34 
 2 29 18 23 31 33 10 49 49  9 13 40 26 34 40 26 36  0 20  0 40 49 41  7 21 16 17 18 40 38 13 31 40 48 23 37 28 42 39 35 36 40 18 19 46 27 25  1 30 32 
45 29 37 48  9 36 42  6 13 21 19 21 39 40  5 27 34 20  0 10 17 39 26 12  0 31 43 35  9 26 32 27 41 27 12 44  0 37 35  7 32 23 48 41 30 36 31 10 19 39 
22 46 30 42 22 25 22 40 48 48 24  9 19 32 44 29 23  0 10  0 18 28 11 14 18 46 26 45 12 47 35  7 37 33 33 49 32 48 23 49  7  7 18 24 49 43  0 38 17 48 
29 43 21  4 11 26 44  2 34 42 28 22  8 36  3  3 33 40 17 18  0  0 10 12 25 38 36 49 41 37 35  2  9 49 46 39 49 39 14 11 34 43  9  5 12 46 28 43  3 44 
 0 38 49  3 13  3 36  2 25  7 36 14 10 28  0  6 44 49 39 28  0  0 23 12 24 18 43 17 23 32 40 41 21  5 41 42 39 13  1 34 46 31  3  1 39 17 14 26 29  5 
47  9 35 39 15  4 49 35 43 27 38 49 17 42 43 29 32 41 26 11 10 23  0 10  7 20 14 13 22 31 14 18 37 18 26 36  3 28  1 25 34 14  4 39 48 46  8 45 36 35 
31 40 46 27 40 24 14  5 12  0 26 16 28 46 47  1 31  7 12 14 12 12 10  0 43 12 29 46  4  0 16 34 40 10 30 49 48  4 39 28 24 21  7 40 28 40 44 44 44 33 
39  5 20 37 38 20  6  6 49  5 17 45 23 23 39  7  7 21  0 18 25 24  7 43  0 27 12 15 21 40 42 26 20 23 35 36 36 46 15 13 15 46 23 32  7 45 19  6  8 46 
20 17 19 22 23 31 32 42  7 21 24 47 31 37  4 48 31 16 31 46 38 18 20 12 27  0 38 36 15  0 28 16 15 21  5 11  7 38  2 15 16 33 46 49 26  0 27  6  8  5 
36 26  7  7 49 27 36 18 13 44  5 41  5 39 43  5 22 17 43 26 36 43 14 29 12 38  0 20 21 13 25  4 19 27 29 33 17 45 29 31 43 17 42  0 47  2  7 45 48 42 
10 44 46 37  3 23 25 10 17 13 40 30 21 33 39  4  5 18 35 45 49 17 13 46 15 36 20  0 19 44 36  8 11 45 48 22 21 21 47 35 37  0 12  7 39 30 42 34 13  0 
11 32 29 20 22 34 33 48 13  0 23  9 47 32 32  4 48 40  9 12 41 23 22  4 21 15 21 19  0 31 18 28  1 11 12 23 30 26 34  0  2 24  5 48  5 25 22 10 30 39 
 1  3  7 28 47 34 34 41 48  2 39  6 16  9  0  9 31 38 26 47 37 32 31  0 40  0 13 44 31  0 37  5  0 23 19 19 44  8 11  8 10 33  4 17 32 40 45 32 47  0 
20 32 37 46  4 42 47 34  6  7 45 12 33  4  9 32 21 13 32 35 35 40 14 16 42 28 25 36 18 37  0 24 38  0 41  4 23  6 31 49 29  7 34 19 23 11 15 23  8  6 
32 10 38 15 37  8 33  7 27 19  1 10 39 38 43 40 49 31 27  7  2 41 18 34 26 16  4  8 28  5 24  0 14 25 10 24 33 45 28 29 41 49 31 19 36 34 49 45 28 42 
 0 47 12 32 43 39 21 35  4 12 41  2 12 49  4 15  1 40 41 37  9 21 37 40 20 15 19 11  1  0 38 14  0 42 26  9 17 46 44 16 24 23 23 28 17 45 17  5  7 14 
32  4 29 12 19 20 44 49 15 26 33 19  2 43 39 31 14 48 27 33 49  5 18 10 23 21 27 45 11 23  0 25 42  0 39 18 31 11 43 35 35 42 38 18  3 35  8 16  3  8 
 9 39 19  1 33 33  4 31 16 17 42  2 31 24 18 33 37 23 12 33 46 41 26 30 35  5 29 48 12 19 41 10 26 39  0 12  9  3 23 15 12 29 13 35 24  1  2 13  7  9 
 8 38 43 10  5 13 38 21 29 30 45 24  4 19 19 23 33 37 44 49 39 42 36 49 36 11 33 22 23 19  4 24  9 18 12  0  6 25 37 30 20 35 49 30  0 20 13 40 25 14 
 5 33 34 15 37 19 37 37 39  5  4  7  3 42 22 43 11 28  0 32 49 39  3 48 36  7 17 21 30 44 23 33 17 31  9  6  0 16 43 42 13 40 34  4 10  0 38 40  2 31 
