40

 0 23 17 26 10 11  9 21 22 22 12 12 17  6 37  8 22 12  5 22 19 20  7  1 29 30 16 30 11 21  0 22  0 32 19 28 25 29 14  0 
23  0 33  9  3  7 22 24 36 14 36 21 26  1 35  9 19 19 19 36 33 28 39 30 35 17 16 14 12 13 22 30 37 24  9 18 13 35 36 18 
17 33  0  2 20 22 29 38 25 34 19  6 26 19 34 37 26 28  7 30 21  9 15 36 20  9  7 26 19 27  7  8 12 39 29 13 14 11 27 18 
26  9  2  0 12 22 33 35  4  3 26 25 19  4 18  4 20 13 28 12 24 23 19 37 27 22 17 17 30  8 16 15 22 12 31 30 35  9 13 23 
10  3 20 12  0 27 11 13 16  7 14  4  8  1 29 30 31  1 19 32  1  3 15 10 18 13 19 33 12 37  4 37 13  9 23 25  7  1 39 15 
11  7 22 22 27  0 29 11  6 36 35  0 12 33 35 10  5 13 16 25  6 13 24  4 10 31  7 13 34  4 12  8 39 10 13 13 29 12 10 25 
 9 22 29 33 11 29  0 36 33 28 34 31 23 34 18 12 21 20 22 22 24  6  9 14 16  2 36  5  3 14 17 23 21  4 24 38  7 20 32 22 
21 24 38 35 13 11 36  0  4  3 27 17 30  4 23  4 38 39  6  0  2 32  5  5  6 12 18 30 38 31 14 17 25  9 21 21 37 23 39 18 
22 36 25  4 16  6 33  4  0 34 17  1 28 27  8 25  0 19 33 18 24 15 23 32  9 17  3 17 23 18 26 27 34 25 26 29  9 11 33 32 
22 14 34  3  7 36 28  3 34  0 37 29 20 23 16 34  4 39  1 18  2 37 17 20  5  1  4  3 30 12 17 29  2  6  7 20  5  7 15 13 
12 36 19 26 14 35 34 27 17 37  0  7 36 27  3 29  2 13 19  4  8 36 38  6 17 14  5 10 13 29 35 11 21 23 32 15 24 38 27 37 
12 21  6 25  4  0 31 17  1 29  7  0 18 19 13 22 28 30  1  9 32 14 29 36 25 27 11 10 19 26  2 30 12  9 22 24 37 10 17 27 
17 26 26 19  8 12 23 30 28 20 36 18  0 32  6 37  2  6 19 19 38 20  7 18 33 31 35 11  7 16  3 39 22 32 11 34  3  4 16 36 
 6  1 19  4  1 33 34  4 27 23 27 19 32  0 24 35  4  4 20 12 36 28 12 26 33 17 29 33  2 29 34  8 39 33 14  9 12 13 24 32 
37 35 34 18 29 35 18 23  8 16  3 13  6 24  0 28 22 10 25 34 33 10 23  7  9 14 33 29 32  0 29 33 34  9 38  9  2 19  3 37 
 8  9 37  4 30 10 12  4 25 34 29 22 37 35 28  0  0 16  7 19 23 36 29 11  7 18  5  4 34 29 12 10 15 31 23 13  3 34 12 33 
22 19 26 20 31  5 21 38  0  4  2 28  2  4 22  0  0 16 24 33 13 34  2 31 37  1 22  5 18  1 21 39 11 24  7 33  1 35 16 12 
12 19 28 13  1 13 20 39 19 39 13 30  6  4 10 16 16  0  0 10 10 19 21 17 31 36 37 28  0 18  3 11 30 28 13 27 18 22 19 35 
 5 19  7 28 19 16 22  6 33  1 19  1 19 20 25  7 24  0  0 20  7 39 26 32 20 31 13  5 39 26  2 17 11 37 22 14 20 37 15 27 
22 36 30 12 32 25 22  0 18 18  4  9 19 12 34 19 33 10 20  0  8 28 21 14 18 36  6 35 22 27  5 17 37 33 13 19  2 38 33  9 
19 33 21 24  1  6 24  2 24  2  8 32 38 36 33 23 13 10  7  8  0 20  0 32 25 18  6 29  1 27  5 32 19 29 16 19 19 19  4 21 
20 28  9 23  3 13  6 32 15 37 36 14 20 28 10 36 34 19 39 28 20  0 23 12 34 18 23  7  3 12 30  1 31 35 21 22 29 33 11 14 
 7 39 15 19 15 24  9  5 23 17 38 29  7 12 23 29  2 21 26 21  0 23  0 10 37 10 14  3 32  1 34  8 27 28  6  6 33  8 31  5 
 1 30 36 37 10  4 14  5 32 20  6 36 18 26  7 11 31 17 32 14 32 12 10  0 13 12 19 36 34 10 36 24 30  0 20 29 28  4 19 28 
29 35 20 27 18 10 16  6  9  5 17 25 33 33  9  7 37 31 20 18 25 34 37 13  0 17  2 25 21 30 12 16 10 23  5 26 36 26  5  3 
30 17  9 22 13 31  2 12 17  1 14 27 31 17 14 18  1 36 31 36 18 18 10 12 17  0  8 36  5 30  8 26 25 11 25 11 27 18 22 35 
16 16  7 17 19  7 36 18  3  4  5 11 35 29 33  5 22 37 13  6  6 23 14 19  2  8  0 10 11 13  5 34 29 37 29 13 17 15 39 21 
30 14 26 17 33 13  5 30 17  3 10 10 11 33 29  4  5 28  5 35 29  7  3 36 25 36 10  0 29 14 16 28  1  5 18  2  1 21 27 25 
11 12 19 30 12 34  3 38 23 30 13 19  7  2 32 34 18  0 39 22  1  3 32 34 21  5 11 29  0  1 18 38 31  1  2 13  0 26  4 20 
21 13 27  8 37  4 14 31 18 12 29 26 16 29  0 29  1 18 26 27 27 12  1 10 30 30 13 14  1  0 17 35 20  3 39 39 34 38  1  8 
 0 22  7 16  4 12 17 14 26 17 35  2  3 34 29 12 21  3  2  5  5 30 34 36 12  8  5 16 18 17  0 14 38 20  1 34  3 36 11 29 
22 30  8 15 37  8 23 17 27 29 11 30 39  8 33 10 39 11 17 17 32  1  8 24 16 26 34 28 38 35 14  0  4 35 10  4 13  5  8 39 
 0 37 12 22 13 39 21 25 34  2 21 12 22 39 34 15 11 30 11 37 19 31 27 30 10 25 29  1 31 20 38  4  0  2  6 19 37  6 14 36 
32 24 39 12  9 10  4  9 25  6 23  9 32 33  9 31 24 28 37 33 29 35 28  0 23 11 37  5  1  3 20 35  2  0 29 18 11 31 23 25 
19  9 29 31 23 13 24 21 26  7 32 22 11 14 38 23  7 13 22 13 16 21  6 20  5 25 29 18  2 39  1 10  6 29  0 32 29  3  3  5 
28 18 13 30 25 13 38 21 29 20 15 24 34  9  9 13 33 27 14 19 19 22  6 29 26 11 13  2 13 39 34  4 19 18 32  0 36 25 27 10 
25 13 14 35  7 29  7 37  9  5 24 37  3 12  2  3  1 18 20  2 19 29 33 28 36 27 17  1  0 34  3 13 37 11 29 36  0 16  3 12 
29 35 11  9  1 12 20 23 11  7 38 10  4 13 19 34 35 22 37 38 19 33  8  4 26 18 15 21 26 38 36  5  6 31  3 25 16  0 28 29 
14 36 27 13 39 10 32 39 33 15 27 17 16 24  3 12 16 19 15 33  4 11 31 19  5 22 39 27  4  1 11  8 14 23  3 27  3 28  0 32 
 0 18 18 23 15 25 22 18 32 13 37 27 36 32 37 33 12 35 27  9 21 14  5 28  3 35 21 25 20  8 29 39 36 25  5 10 12 29 32  0 

 0  6 35 12 19  8  2 39 10 25 20 36 33 11 28  8 28 19 36 29  4  6 18 29 34 19 24 12 22 23 33 21  5 34 39  3  4 25 24  0 
 6  0 15 21  6 29 18 17  1  7  8  0  5 35  7 37 23 30 18  1  5 37 31 25  1 39  3 17 36 13 21 35  3 35  4 37 39 22 10  6 
35 15  0 27 26 10  7  4  5  4 12  1  3  8  1 36  8 31 12  4  7 30 14  7 33  3 39 35  1 39 15 25  7 21 38 31 19 15 14 32 
12 21 27  0 16  3 16 10  7 30 26  9 24 28 35 23 22 11 12 12 13 33 12 34  8 34 24 11 24  6 25 10 21 18 16 20 35 39 37 18 
19  6 26 16  0 15  2  6 25  8 19 19 31 30 37 23 10 10  9 10 34 17  7 26  6  7 31 23 27  0  2 13 14 36 19 10 13 36 20 10 
 8 29 10  3 15  0 13 20  9 18 10  9 29 20 33 19  1 14 10 25 19 12 29 17  4 22 30  8  0 28 31  2 14 36 23 31 10 11 12 19 
 2 18  7 16  2 13  0 33 17 24 18 37 19  4 28  5 10  3 27 19  2  5  4  8 17 30  0 11 32 18 32 30 39  0 36 30  2  5 36 26 
39 17  4 10  6 20 33  0 15 11  1 11  8 34 11 30 25 21 21  2 26 36 29 38 20 31 25 18 30 16 21 17 37 14 35 27  2 12 30 25 
